,city,state,salary_lower,salary_upper,preferred_skill,need_for_position,job_id,post_date
0,Ann Arbor,MI • Houston,110000,180000,".NET, C#, REACT, React.JS, Angular.js, Senior Software Engineer, Sr Software Engineer, Senior Software Developer, Sr. Software Developer, SQL","- .NET - C# 
- REACT 
- React.JS 
- Angular.js 
- Senior Software Engineer 
- Sr Software Engineer 
- Senior Software Developer 
- Sr. Software Developer 
- SQL",AG17-1674760,02/14/2022
1,San Francisco,CA • Palo Alto,140000,190000,"React.JS, Node.js, Senior Software Engineer, Senior Software Developer, Application Developer, REACT, JavaScript, CSS, HTML, Redux","- React.JS - Node.js 
- Senior Software Engineer 
- Senior Software Developer 
- Application Developer 
- REACT 
- JavaScript 
- CSS 
- HTML 
- Redux",AG17-1674756,02/14/2022
2,Seattle,WA • New York,180000,225000,"Ruby On Rails, ROR, REACT, Senior Software Developer, Software Developer, Software Engineer, JavaScript","At least 10 years experience and B.S. in C.S. or equivalent required and: 
- Ruby On Rails ( >7 years required) 
- ROR (>7 years required) 
- REACT (strongly preferred) 
- JavaScript 
- Senior Software Developer 
- Software Developer 
- Software Engineer 
- Experience with start-up companies is strongly preferred",AG17-1671934,01/27/2022
3,Boston,MA,100000,140000,"Software Engineer, Ruby On Rails, REACT","- 3+ years developing software in commercial environment - 2+ years of experience with Ruby 
- Experience in building RESTful APIs 
- 2+ years of experience with frontend frameworks (ideally React) 
- Experience in building integrations with third-party APIs with REST, SOAP, XMLRPC, etc 
- Experience in writing unit tests, functional tests, integration tests 
- Network and microservices infrastructure understanding",LP10-1660041,12/07/2021
4,Santa Barbara,CA,100000,130000,"Software Engineer, Ruby On Rails, REACT","- 3+ years developing software in commercial environment - 2+ years of experience with Ruby 
- Experience in building RESTful APIs 
- 2+ years of experience with frontend frameworks (ideally React) 
- Experience in building integrations with third-party APIs with REST, SOAP, XMLRPC, etc 
- Experience in writing unit tests, functional tests, integration tests 
- Network and microservices infrastructure understanding",LP10-1655928,11/03/2021
5,Lone Tree,CO,120000,175000,"Software Engineer, C++, C#","- 3+ Years Experience as a Software Engineer - Software-related experience, such as programming/development, testing, script writing, etc. is a plus. 
- NavAIR, NAWCWD, EW, software development, and systems engineering experience is a plus. 
- Experience with the integration of complex applications, DI2E development tools, Atlassian issue tracking application, Jira bug tracking and agile project  
   management. 
- Knowledge of FMS programs is a plus. 
- Excellent communication and interpersonal skillsverbal, non-verbal, written, and listeningfor staff, customer and organizational level communications,  
   both formal and informal. 
- Ability to work independently or lead a small team; self-starter.",AM20-1667110,12/21/2021
6,Orange,CA,160000,200000,"C++, Java, TCP/IP, Cisco, securex, ForeScout, Aruba, Agile, SCRUM, Software Engineer","Required: -7+ Years of development experience 
- C++ 
- Java 
- TCP/IP 
 
Preferred : 
- Cisco 
- securex 
- ForeScout 
- Aruba 
- Agile 
- SCRUM",DF7-1672354,01/31/2022
7,San Jose,CA,160000,200000,"C++, Java, TCP/IP, Cisco, securex, ForeScout, Aruba, Agile, SCRUM, Software Engineer","Required: -7+ Years of development experience 
- C++ 
- Java 
- TCP/IP 
 
Preferred : 
- Cisco 
- securex 
- ForeScout 
- Aruba 
- Agile 
- SCRUM",DF7-1672362,02/04/2022
8,San Francisco,CA,160000,200000,"C++, Java, TCP/IP, Cisco, securex, ForeScout, Aruba, Agile, SCRUM, Software Engineer","Required: -7+ Years of development experience 
- C++ 
- Java 
- TCP/IP 
 
Preferred : 
- Cisco 
- securex 
- ForeScout 
- Aruba 
- Agile 
- SCRUM",DF7-1672364,01/31/2022
9,Bozeman,MT,110000,130000,"Devops, Engineer, Software, Technologies","5-10+ years of experience  Strong interpersonal skills 
Ability to communicate clearly and concisely, both orally and in writing",VP5-1671111,01/29/2022
10,Bozeman,MT,110000,130000,"Devops, Engineer, Software, Technologies","5-10+ years of experience  Strong interpersonal skills 
Ability to communicate clearly and concisely, both orally and in writing",VP5-1672286,01/29/2022
11,Plano,TX,100000,120000,"C++, Scripting, BAT, Python, Shell, Groovy, Java, Golang, Plastic SCM Experience, Software Engineer","
-Jenkins experience 
-Octopus experience 
-Scripting experience (bat, python, shell, groovy) 
-C++ experience 
-Java experience 
-GoLang experience 
-Plastic SCM experience",SL5-1666071,01/20/2022
12,Plano,TX,75000,120000,"C, C++, Golang, TypeScript, NodeJS, Product Development, Agile, SAFE, Warehouse Automation, Software Engineer","- 2+ years of Software Engineering experience - Any of the languages such as Java, Golang, C++, Javascript Nodejs, Typescript,  or Postgres 
- Experience in a Product Development Environment is a plus 
- Ability to travel to HQ or customer sites (less than 20% travel)",SL5-1651186,10/01/2021
